contract_id,contract_file,clause_type,true_risk_level,clause_text
C02,contract_02.txt,押金条款,high,乙方于签订本合同时向甲方支付押金3000元（大写：叁仟元整）。乙方提前解除合同的，押金不予退还。
C03,contract_03.txt,租金条款,high,月租金为2800元（大写：贰仟捌佰元整），乙方按季度支付。租赁期内，甲方有权根据市场情况随时上调租金，乙方不得异议。
C03,contract_03.txt,转租条款,medium,租赁期内，乙方转租房屋的，除须经甲方书面同意外，另按一个月租金的50%支付转租费。未经甲方同意擅自转租的，甲方有权解除合同。
C04,contract_04.txt,维修责任,high,乙方应按照房屋用途合理使用房屋及设施，不得擅自拆改房屋结构，不得利用房屋从事违法活动。租赁期内房屋及其设施设备的一切维修保养（含自然老化损坏）均由乙方承担。
C04,contract_04.txt,违约责任,high,乙方逾期支付租金超过3日的，每逾期一日按月租金的10%支付违约金。乙方违反合同约定使用房屋的，甲方有权要求乙方限期改正；逾期未改正的，甲方有权解除合同。
C05,contract_05.txt,违约责任,high,经甲乙双方协商一致，可以解除本合同。租赁期内甲方有权随时收回房屋，且不承担任何违约责任。
C05,contract_05.txt,押金条款,medium,乙方应于本合同签订之日向甲方支付相当于六个月租金的押金，由甲方收执。
C06,contract_06.txt,退租条款,high,乙方提前退租的，应提前90日书面通知甲方并支付两个月租金作为赔偿金。
C06,contract_06.txt,其他,high,乙方应合理使用房屋，不得擅自改变房屋结构，不得利用房屋从事违法活动。甲方可随时进入租赁房屋检查使用情况，乙方不得拒绝。
C07,contract_07.txt,押金条款,high,经甲乙双方协商一致，可以解除本合同。租期届满后，甲方有权以房屋存在使用痕迹为由扣押押金。
C07,contract_07.txt,其他,medium,乙方应合理使用房屋及设施，不得擅自拆改房屋结构，不得利用房屋从事违法活动。乙方装修房屋的费用自理，租期届满装修无偿归甲方所有。
C08,contract_08.txt,违约责任,high,经甲乙双方协商一致，可以解除本合同。乙方迟延支付租金1日的，甲方有权立即解除合同并清退乙方。
C08,contract_08.txt,其他,medium,租赁期内房屋使用产生的水电燃气费按供水供电燃气公司收费标准的1.5倍结算，由乙方按月缴纳。
C10,contract_10.txt,租金条款,medium,租赁期限自2026年11月1日起至2027年10月31日止，共计12个月。租期届满后续租的，租金上涨不低于50%，双方应按新标准另行签订续租合同。
C10,contract_10.txt,其他,medium,乙方应合理使用房屋及附属设施，不得擅自拆改房屋结构，不得利用房屋从事违法活动。租赁期内乙方遗失钥匙的，赔偿全部门锁更换费用每把2000元，由甲方直接从押金中扣除。
C11,contract_11.txt,退租条款,high,租赁期内甲方出售房屋的，乙方应于7日内搬离且押金不退，甲方不承担任何赔偿责任。
C11,contract_11.txt,其他,medium,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。本合同履行期间的物业管理费由乙方承担，按物业公司的收费标准每季度缴纳一次。
C12,contract_12.txt,押金条款,medium,乙方于本合同签订时向甲方支付押金2600元（大写：贰仟陆佰元整）。押金于租期届满后90个工作日内无息退还，乙方在租期届满后至押金退还前不得以任何理由催要。
C12,contract_12.txt,违约责任,high,租赁期内在房屋内发生的一切人身伤亡或财产损失事故均由乙方自行承担，与甲方无关。
C13,contract_13.txt,违约责任,high,经甲乙双方协商一致，可以解除本合同。甲方因个人原因提前收回房屋的，仅退还剩余租金，押金不予退还，乙方应在收到通知后5日内搬离。
C13,contract_13.txt,其他,high,因本合同产生的任何争议，乙方不得提起诉讼或申请仲裁，双方争议由甲方最终解释处理。
C14,contract_14.txt,违约责任,high,乙方逾期支付租金达30日的，甲方有权留置屋内全部物品作为抵偿，并自行处置上述物品。
C15,contract_15.txt,违约责任,medium,房屋因政府征收、自然灾害或甲方个人原因被收回的，甲方不承担任何违约责任。
C15,contract_15.txt,其他,medium,乙方应合理使用房屋及设施，不得擅自拆改房屋结构，不得利用房屋从事违法活动。租赁期内，乙方须每月接受不少于两次的入户检查，检查内容包括房屋使用及设施状况，乙方不得以任何理由拒绝。
C16,contract_16.txt,租金条款,medium,租赁期限自2026年10月1日起至2027年9月30日止，共计12个月。租期届满续租的，租金上涨不低于50%，双方应按新标准另行签订续租合同。租期届满未续租的，本合同终止，乙方应按约定返还房屋。
C16,contract_16.txt,违约责任,medium,乙方应合理使用房屋及附属设施，不得擅自拆改房屋结构，不得利用房屋从事违法活动。房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。乙方损坏屋内设施的，按设施价值的三倍赔偿。
C17,contract_17.txt,其他,medium,乙方应合理使用房屋及附属设施，不得擅自拆改房屋结构，不得利用房屋从事违法活动。乙方留宿访客须经甲方书面同意，违者每次支付500元。
C17,contract_17.txt,退租条款,medium,经甲乙双方协商一致，可以解除本合同。合同终止后乙方须将墙面重新粉刷恢复原状，否则押金不予退还。
C18,contract_18.txt,押金条款,high,乙方于本合同签订时向甲方支付押金3800元（大写：叁仟捌佰元整）。押金在任何情况下均不予退还，作为乙方履行本合同义务及房屋使用损耗的担保。
C18,contract_18.txt,租金条款,high,月租金为3800元（大写：叁仟捌佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。支付方式为银行转账至甲方指定账户。甲方收款后向乙方出具收款凭证。甲方有权每三个月调整一次租金，每次上调幅度不超过20%。
C18,contract_18.txt,其他,high,经甲乙双方协商一致，可以解除本合同。租赁期内乙方死亡的，本合同自动终止，已付租金与押金均不予退还。
