contract_id,clause,risk_level,risk_type,预分类,人工裁决,备注,复核裁决,复核备注
C01,第四条 押金：租赁期满或合同解除后，乙方结清应由其承担的各项费用，并将房屋及附属设施完好交还甲方，经双方共同验收无损坏的，甲方应于验收之日起7日内将押金全额无息退还乙方。,medium,押金退还条件不明确,待人工,过度预警,押金7日无息退还，约定明确良好,低风险/过度预警,
C01,第九条 违约责任：乙方逾期支付租金的，每逾期一日，按月租金的0.5%向甲方支付违约金；逾期超过15日的，甲方有权解除合同，收回房屋，并要求乙方赔偿由此造成的损失。,high,违约金过高及违约责任不对等,待人工,过度预警,0.5%/日约为日租金15%，市场常见未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C01,第六条 房屋使用及维修责任：甲方接到乙方报修通知后，应在3日内安排维修。,medium,维修救济不足,待人工,过度预警,3日维修时限属明确良好约定,低风险/过度预警,
C01,第五条 相关费用承担：租赁期内，乙方使用房屋产生的水费、电费、燃气费、网络费等由乙方按有关部门的收费标准自行缴纳。供暖费由甲方承担。,medium,费用承担范围不完整,待人工,过度预警,水电网乙方/供暖甲方为行业惯例,低风险/过度预警,
C01,第二条 租赁期限：租赁期满，本合同自行终止；乙方需继续承租的，应提前30日向甲方书面提出，经双方协商一致后另行签订续租合同，同等条件下乙方享有优先承租权。,medium,优先承租权约定虚化,待人工,过度预警,已明确约定优先承租权,低风险/过度预警,
C01,第二条 租赁期限：甲方应于2026年10月1日前将房屋及附属设施以适租状态交付乙方，双方在《房屋交接单》上签字确认。,medium,交付义务违约责任缺失,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C01,第一条 房屋基本情况：甲方保证对该房屋享有合法的出租权利，房屋无权属争议。,medium,权属及出租权限风险,待人工,过度预警,条款已含权属保证仍报权属风险,低风险/过度预警,
C01,第八条 合同的解除：乙方确需提前解除合同的，应提前30日书面通知甲方，租金按实际居住天数结算，甲方应退还剩余租金及押金。甲方确需提前收回房屋的，应提前30日书面通知乙方，退还剩余租金及押金，并向乙方支付一个月租金作为补偿。,medium,提前解除补偿及损失分担不明确,待人工,过度预警,双向对等解除且甲方收回需付一月补偿,低风险/过度预警,
C01,第三条 租金及支付方式：乙方应于每季度首月5日前将当期租金以银行转账方式支付至甲方指定账户。,low,收款账户约定不明确,待人工,过度预警,银行转账属标准支付约定,低风险/过度预警,
C01,签订日期：2026年9月　日,low,合同生效日期不确定,日期空位,过度预警,日期空位属填写完整性，非实质风险,填写完整性提醒,填写完整性提醒，非实质法律风险
C01,合同未约定不可抗力、征收拆迁、房屋所有权变动等情形下的处理方式。,medium,合同缺失重要情形条款,待人工,过度预警,模板完整性问题，实务影响有限,低风险/过度预警,
C02,经甲乙双方协商一致，可以解除本合同。租期届满前，如一方决定不再履行本合同，应及时书面通知对方，乙方应结清各项费用并按约定返还房屋，双方按实际居住情况办理结算。,high,合同解除权与结算不对等,待人工,过度预警,标准解除与结算条款,低风险/过度预警,
C02,任何一方不履行本合同义务或者履行义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。乙方逾期支付租金达15日以上的，甲方有权解除本合同并要求乙方赔偿由此造成的损失。,high,违约责任不对等,待人工,过度预警,前半为法律条文复述，后半属常见约定,低风险/过度预警,
C02,合同期满后，如乙方有意继续承租，应在期满前一个月向甲方提出，双方协商一致后另行签订合同。租赁期届满未续签的，乙方应按约定返还房屋。,medium,续租与优先承租权,待人工,过度预警,标准续租条款,低风险/过度预警,
C02,房屋及附属设施因自然损耗或自身质量原因出现故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方自行维修或赔偿。甲方应在接到乙方报修通知后及时安排维修，不得无故拖延。,medium,维修责任与租金减免,待人工,过度预警,自然损耗甲方修/使用不当乙方修为标准分担,低风险/过度预警,
C02,租赁期间乙方使用房屋所发生的水费、电费、燃气费、网络使用费等均由乙方承担，并按有关部门规定的时间与标准缴纳。乙方不得拖欠上述费用，否则由此产生的责任由乙方自行承担。,medium,费用承担范围不明,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C02,甲方应于2026年11月1日前将房屋及附属设施以适租状态交付乙方，双方共同清点屋内物品并在交接清单上签字确认。租期届满或合同解除时，乙方应参照交接清单将房屋及物品返还甲方，并结清各项应付费用。,medium,交付义务与验收责任,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C02,甲方自愿将位于某某市某某区和平街8号院5号楼1单元301室的房屋出租给乙方使用。……甲方保证该房屋来源合法，具备正常居住条件。,medium,房屋权属风险,待人工,过度预警,条款已含来源合法保证,低风险/过度预警,
C02,房屋月租金为3000元（大写：叁仟元整），按季度支付。乙方应于每个季度开始前3日内支付当季租金，支付方式为银行转账。,low,租金支付时间与账户约定,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C02,一方以短信、微信或书面函件方式发出的通知，到达对方任一联系方式即视为送达。联系方式变更的应及时书面告知对方。,low,通知送达条款,待人工,过度预警,标准通知送达条款,低风险/过度预警,
C02,本合同一式两份，甲乙双方各执一份，自双方签字（盖章）之日起生效。甲方（签章）：王某某 2026年10月　日 乙方（签章）：钱某某 2026年10月　日,low,合同生效时间不明确,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C03,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过20日的，甲方有权解除合同并要求乙方腾退房屋。,high,违约金过高,待人工,过度预警,0.5%/日属常见约定，埋点用的是10%/日,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C03,任何一方违反本合同约定给对方造成损失的，应承担赔偿责任。乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过20日的，甲方有权解除合同并要求乙方腾退房屋。,high,违约责任不对等,待人工,过度预警,法律复述+常见违约约定,低风险/过度预警,
C03,租赁期满，乙方结清各项费用并经甲方验收房屋及设施无损坏的，押金予以退还。,medium,押金返还条款不明确,待人工,过度预警,常见押金退还表述，无扣押情形,低风险/过度预警,
C03,乙方需要提前退租的，应提前30日书面通知甲方，并配合甲方看房，按实际居住时间结算租金。,medium,提前退租约定不完整,待人工,过度预警,标准提前退租条款,低风险/过度预警,
C03,租赁期届满，本合同终止；乙方需要续租的，应当在租期届满前两个月与甲方协商续签事宜。,medium,续租条款不公,待人工,过度预警,提前两个月协商属常见约定,低风险/过度预警,
C03,甲方应在收到乙方报修通知后5日内安排维修。,medium,维修责任与救济不明确,待人工,过度预警,5日维修时限属正常,低风险/过度预警,
C03,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担。供暖费由甲方承担。,medium,费用承担约定不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C03,甲方将位于某某市某某区建设路25号6号楼2单元601室的房屋出租给乙方。,high,房屋权属与出租权风险,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C03,乙方应于每季度首日前5日内支付当季租金，支付方式为手机银行转账至甲方账户。,low,付款期限表述不清,待人工,过度预警,标准支付约定,低风险/过度预警,
C03,甲方应于2026年9月1日前向乙方交付房屋，双方共同查验房屋及屋内物品，填写交接清单并签字确认。交接清单作为退租验收的依据。,low,交接验收风险,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C03,本合同一式两份，甲乙双方各执一份，自双方签字（盖章）之日起生效。,low,签署日期不完整,待人工,过度预警,生效机制正常，日期属填写完整性,低风险/过度预警,
C04,乙方逾期支付租金超过3日的，每逾期一日按月租金的10%支付违约金。,high,违约金过高,待人工,合理发现,实为埋点命中（10%/日违约金明显过高），引用片段致匹配失败,高风险合理发现,
C04,租期届满乙方结清费用并返还房屋后，甲方应于7日内无息退还押金。,medium,押金返还与扣减,待人工,过度预警,押金7日无息退还，约定明确,低风险/过度预警,
C04,租赁期满，乙方如需续租，应提前30日提出，双方另行签订续租合同。,medium,续租条款,待人工,过度预警,标准续租条款,低风险/过度预警,
C04,月租金为3500元（大写：叁仟伍佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。,medium,租金支付周期不明确,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C04,乙方确需提前解除的，应提前30日书面通知甲方，并按实际居住天数结算租金。,medium,提前解约条款,待人工,过度预警,标准提前解除条款,低风险/过度预警,
C04,该房屋建筑面积78平方米，两室一厅一卫，中等装修，屋内配有双人床、衣柜、沙发、餐桌椅、空调、燃气热水器等家具家电，具体以《房屋交接清单》为准。,medium,交接清单未附,待人工,过度预警,以交接清单为准属正常约定,低风险/过度预警,
C04,甲方应在合同签订时向乙方出示房屋权属证明，保证乙方在租赁期内正常居住使用。,medium,权属保证与违约责任缺失,待人工,过度预警,条款已含权属出示义务,低风险/过度预警,
